SIGNAL,GROUP,TIMES,NODES
START,END,TIMING,PHASING,NOTES
16,0,1,16
0:00,2@12:00,1,1,3 Phase Timed
17,0,1,17
0:00,2@12:00,1,1,3 Phase Timed
22,0,1,22
0:00,2@12:00,1,1,3 Phase Timed
34,0,1,34
0:00,2@12:00,1,1,4 Phase Timed
35,0,1,35
0:00,2@12:00,1,1,3 Phase Timed
36,0,1,36
0:00,2@12:00,1,1,2 Phase Timed
41,0,1,41
0:00,2@12:00,1,1,2 Phase Timed
42,0,1,42
0:00,2@12:00,1,1,4 Phase Timed
44,0,1,44
0:00,2@12:00,1,1,4 Phase Timed
50,0,1,50
0:00,2@12:00,1,1,3 Phase Timed
51,0,1,51
0:00,2@12:00,1,1,2 Phase Timed
59,0,1,59
0:00,2@12:00,1,1,3 Phase Timed
60,0,1,60
0:00,2@12:00,1,1,4 Phase Timed
61,0,1,61
0:00,2@12:00,1,1,3 Phase Timed
62,0,1,62
0:00,2@12:00,1,1,3 Phase Timed
65,0,1,65
0:00,2@12:00,1,1,3 Phase Timed
67,0,1,67
0:00,2@12:00,1,1,4 Phase Timed
70,0,1,70
0:00,2@12:00,1,1,2 Phase Timed
72,0,1,72
0:00,2@12:00,1,1,3 Phase Timed
75,0,1,75
0:00,2@12:00,1,1,3 Phase Timed
76,0,1,76
0:00,2@12:00,1,1,4 Phase Timed
77,0,1,77
0:00,2@12:00,1,1,2 Phase Timed
120,0,1,120
0:00,2@12:00,1,1,3 Phase Timed
122,0,1,122
0:00,2@12:00,1,1,3 Phase Timed
125,0,1,125
0:00,2@12:00,1,1,2 Phase Timed
127,0,1,127
0:00,2@12:00,1,1,2 Phase Timed
128,0,1,128
0:00,2@12:00,1,1,2 Phase Timed
148,0,1,148
0:00,2@12:00,1,1,2 Phase Timed
168,0,1,168
0:00,2@12:00,1,1,2 Phase Timed
174,0,1,174
0:00,2@12:00,1,1,2 Phase Timed
177,0,1,177
0:00,2@12:00,1,1,3 Phase Timed
280,0,1,280
0:00,2@12:00,1,1,2 Phase Timed
284,0,1,284
0:00,2@12:00,1,1,3 Phase Timed
288,0,1,288
0:00,2@12:00,1,1,2 Phase Timed
296,0,1,296
0:00,2@12:00,1,1,4 Phase Timed
307,0,1,307
0:00,2@12:00,1,1,4 Phase Timed
309,0,1,309
0:00,2@12:00,1,1,4 Phase Timed
310,0,1,310
0:00,2@12:00,1,1,3 Phase Timed
359,0,1,359
0:00,2@12:00,1,1,3 Phase Timed
376,0,1,376
0:00,2@12:00,1,1,3 Phase Timed
422,0,1,422
0:00,2@12:00,1,1,2 Phase Timed
425,0,1,425
0:00,2@12:00,1,1,2 Phase Timed
427,0,1,427
0:00,2@12:00,1,1,2 Phase Timed
432,0,1,432
0:00,2@12:00,1,1,4 Phase Timed
447,0,1,447
0:00,2@12:00,1,1,2 Phase Timed
448,0,1,448
0:00,2@12:00,1,1,2 Phase Timed
450,0,1,450
0:00,2@12:00,1,1,2 Phase Timed
460,0,1,460
0:00,2@12:00,1,1,2 Phase Timed
478,0,1,478
0:00,2@12:00,1,1,3 Phase Timed
480,0,1,480
0:00,2@12:00,1,1,2 Phase Timed
483,0,1,483
0:00,2@12:00,1,1,3 Phase Timed
489,0,1,489
0:00,2@12:00,1,1,3 Phase Timed
490,0,1,490
0:00,2@12:00,1,1,3 Phase Timed
493,0,1,493
0:00,2@12:00,1,1,2 Phase Timed
514,0,1,514
0:00,2@12:00,1,1,2 Phase Timed
515,0,1,515
0:00,2@12:00,1,1,3 Phase Timed
519,0,1,519
0:00,2@12:00,1,1,3 Phase Timed
523,0,1,523
0:00,2@12:00,1,1,2 Phase Timed
543,0,1,543
0:00,2@12:00,1,1,3 Phase Timed
549,0,1,549
0:00,2@12:00,1,1,3 Phase Timed
557,0,1,557
0:00,2@12:00,1,1,2 Phase Timed
558,0,1,558
0:00,2@12:00,1,1,3 Phase Timed
560,0,1,560
0:00,2@12:00,1,1,2 Phase Timed
563,0,1,563
0:00,2@12:00,1,1,3 Phase Timed
564,0,1,564
0:00,2@12:00,1,1,3 Phase Timed
567,0,1,567
0:00,2@12:00,1,1,3 Phase Timed
573,0,1,573
0:00,2@12:00,1,1,2 Phase Timed
576,0,1,576
0:00,2@12:00,1,1,3 Phase Timed
585,0,1,585
0:00,2@12:00,1,1,3 Phase Timed
590,0,1,590
0:00,2@12:00,1,1,4 Phase Timed
591,0,1,591
0:00,2@12:00,1,1,3 Phase Timed
596,0,1,596
0:00,2@12:00,1,1,3 Phase Actua
601,0,1,601
0:00,2@12:00,1,1,4 Phase Timed
603,0,1,603
0:00,2@12:00,1,1,4 Phase Timed
606,0,1,606
0:00,2@12:00,1,1,3 Phase Timed
607,0,1,607
0:00,2@12:00,1,1,4 Phase Timed
620,0,1,620
0:00,2@12:00,1,1,3 Phase Timed
622,0,1,622
0:00,2@12:00,1,1,3 Phase Timed
627,0,1,627
0:00,2@12:00,1,1,2 Phase Timed
630,0,1,630
0:00,2@12:00,1,1,2 Phase Timed
631,0,1,631
0:00,2@12:00,1,1,3 Phase Timed
632,0,1,632
0:00,2@12:00,1,1,3 Phase Timed
633,0,1,633
0:00,2@12:00,1,1,2 Phase Timed
634,0,1,634
0:00,2@12:00,1,1,2 Phase Timed
640,0,1,640
0:00,2@12:00,1,1,3 Phase Timed
641,0,1,641
0:00,2@12:00,1,1,3 Phase Timed
642,0,1,642
0:00,2@12:00,1,1,2 Phase Timed
643,0,1,643
0:00,2@12:00,1,1,2 Phase Timed
644,0,1,644
0:00,2@12:00,1,1,3 Phase Timed
645,0,1,645
0:00,2@12:00,1,1,4 Phase Timed
648,0,1,648
0:00,2@12:00,1,1,2 Phase Timed
654,0,1,654
0:00,2@12:00,1,1,3 Phase Timed
659,0,1,659
0:00,2@12:00,1,1,3 Phase Timed
662,0,1,662
0:00,2@12:00,1,1,3 Phase Timed
666,0,1,666
0:00,2@12:00,1,1,2 Phase Timed
672,0,1,672
0:00,2@12:00,1,1,3 Phase Timed
673,0,1,673
0:00,2@12:00,1,1,2 Phase Timed
677,0,1,677
0:00,2@12:00,1,1,2 Phase Timed
688,0,1,688
0:00,2@12:00,1,1,2 Phase Timed
696,0,1,696
0:00,2@12:00,1,1,2 Phase Timed
698,0,1,698
0:00,2@12:00,1,1,2 Phase Timed
700,0,1,700
0:00,2@12:00,1,1,2 Phase Actua
701,0,1,701
0:00,2@12:00,1,1,2 Phase Timed
704,0,1,704
0:00,2@12:00,1,1,2 Phase Timed
712,0,1,712
0:00,2@12:00,1,1,2 Phase Timed
720,0,1,720
0:00,2@12:00,1,1,3 Phase Timed
728,0,1,728
0:00,2@12:00,1,1,3 Phase Timed
729,0,1,729
0:00,2@12:00,1,1,3 Phase Timed
735,0,1,735
0:00,2@12:00,1,1,4 Phase Timed
757,0,1,757
0:00,2@12:00,1,1,2 Phase Timed
770,0,1,770
0:00,2@12:00,1,1,3 Phase Timed
772,0,1,772
0:00,2@12:00,1,1,3 Phase Timed
786,0,1,786
0:00,2@12:00,1,1,4 Phase Timed
790,0,1,790
0:00,2@12:00,1,1,4 Phase Timed
794,0,1,794
0:00,2@12:00,1,1,3 Phase Timed
795,0,1,795
0:00,2@12:00,1,1,3 Phase Timed
797,0,1,797
0:00,2@12:00,1,1,2 Phase Timed
799,0,1,799
0:00,2@12:00,1,1,2 Phase Timed
808,0,1,808
0:00,2@12:00,1,1,2 Phase Timed
811,0,1,811
0:00,2@12:00,1,1,2 Phase Timed
815,0,1,815
0:00,2@12:00,1,1,2 Phase Timed
822,0,1,822
0:00,2@12:00,1,1,2 Phase Timed
823,0,1,823
0:00,2@12:00,1,1,3 Phase Timed
841,0,1,841
0:00,2@12:00,1,1,2 Phase Timed
859,0,1,859
0:00,2@12:00,1,1,2 Phase Timed
882,0,1,882
0:00,2@12:00,1,1,4 Phase Timed
886,0,1,886
0:00,2@12:00,1,1,4 Phase Timed
887,0,1,887
0:00,2@12:00,1,1,3 Phase Timed
898,0,1,898
0:00,2@12:00,1,1,3 Phase Timed
912,0,1,912
0:00,2@12:00,1,1,2 Phase Timed
934,0,1,934
0:00,2@12:00,1,1,4 Phase Timed
941,0,1,941
0:00,2@12:00,1,1,4 Phase Timed
951,0,1,951
0:00,2@12:00,1,1,2 Phase Timed
954,0,1,954
0:00,2@12:00,1,1,3 Phase Timed
965,0,1,965
0:00,2@12:00,1,1,4 Phase Timed
969,0,1,969
