PARKING,LINK,DIR,OFFSET,TYPE,NUM_NEST,NOTES
USE,START,END,SPACE,TIME_IN,TIME_OUT,HOURLY,DAILY
225,277,0,161.0,LOT,0,Parking Lot
226,277,1,161.1,LOT,0,Parking Lot
227,278,0,161.0,LOT,0,Parking Lot
228,278,1,161.0,LOT,0,Parking Lot
229,279,0,160.9,LOT,0,Parking Lot
230,279,1,161.0,LOT,0,Parking Lot
231,280,0,161.0,LOT,0,Parking Lot
232,280,1,161.0,LOT,0,Parking Lot
233,281,0,161.0,LOT,0,Parking Lot
234,281,1,161.0,LOT,0,Parking Lot
235,282,0,161.0,LOT,0,Parking Lot
236,282,1,161.1,LOT,0,Parking Lot
237,283,0,160.9,LOT,0,Parking Lot
238,283,1,161.0,LOT,0,Parking Lot
239,284,0,161.0,LOT,0,Parking Lot
240,284,1,161.1,LOT,0,Parking Lot
241,285,0,161.0,LOT,0,Parking Lot
242,285,1,161.0,LOT,0,Parking Lot
243,286,0,161.0,LOT,0,Parking Lot
244,286,1,161.0,LOT,0,Parking Lot
245,287,0,161.0,LOT,0,Parking Lot
246,287,1,161.1,LOT,0,Parking Lot
247,288,0,161.0,LOT,0,Parking Lot
248,288,1,161.0,LOT,0,Parking Lot
249,289,0,160.9,LOT,0,Parking Lot
250,289,1,161.0,LOT,0,Parking Lot
251,290,0,161.0,LOT,0,Parking Lot
252,290,1,161.1,LOT,0,Parking Lot
253,291,0,161.0,LOT,0,Parking Lot
254,291,1,161.1,LOT,0,Parking Lot
255,292,0,161.0,LOT,0,Parking Lot
256,292,1,161.0,LOT,0,Parking Lot
257,293,0,161.0,LOT,0,Parking Lot
258,293,1,161.0,LOT,0,Parking Lot
259,294,0,215.5,LOT,0,Parking Lot
260,294,1,215.5,LOT,0,Parking Lot
261,295,0,161.0,LOT,0,Parking Lot
262,295,1,161.1,LOT,0,Parking Lot
263,296,0,161.0,LOT,0,Parking Lot
264,296,1,161.0,LOT,0,Parking Lot
265,297,0,219.4,LOT,0,Parking Lot
266,297,1,219.4,LOT,0,Parking Lot
267,298,0,161.0,LOT,0,Parking Lot
268,298,1,161.0,LOT,0,Parking Lot
269,299,0,161.0,LOT,0,Parking Lot
270,299,1,161.0,LOT,0,Parking Lot
271,302,0,161.0,LOT,0,Parking Lot
272,302,1,161.0,LOT,0,Parking Lot
273,303,0,161.0,LOT,0,Parking Lot
274,303,1,161.0,LOT,0,Parking Lot
275,304,0,161.0,LOT,0,Parking Lot
276,304,1,161.0,LOT,0,Parking Lot
277,305,0,161.0,LOT,0,Parking Lot
278,305,1,161.1,LOT,0,Parking Lot
279,306,0,161.0,LOT,0,Parking Lot
280,306,1,161.0,LOT,0,Parking Lot
281,307,0,160.9,LOT,0,Parking Lot
282,307,1,161.0,LOT,0,Parking Lot
283,309,0,161.0,LOT,0,Parking Lot
284,309,1,161.1,LOT,0,Parking Lot
285,310,0,161.1,LOT,0,Parking Lot
286,310,1,161.1,LOT,0,Parking Lot
287,311,0,160.9,LOT,0,Parking Lot
288,311,1,161.0,LOT,0,Parking Lot
289,317,0,161.0,LOT,0,Parking Lot
290,317,1,161.1,LOT,0,Parking Lot
291,319,0,195.1,LOT,0,Parking Lot
292,319,1,195.2,LOT,0,Parking Lot
293,409,1,91.0,LOT,0,Parking Lot
294,409,0,91.1,LOT,0,Parking Lot
295,325,0,160.9,LOT,0,Parking Lot
296,325,1,161.0,LOT,0,Parking Lot
297,327,0,160.9,LOT,0,Parking Lot
298,327,1,161.0,LOT,0,Parking Lot
299,329,0,201.6,LOT,0,Parking Lot
300,329,1,201.7,LOT,0,Parking Lot
301,330,0,161.0,LOT,0,Parking Lot
302,330,1,161.1,LOT,0,Parking Lot
303,333,0,161.0,LOT,0,Parking Lot
304,333,1,161.1,LOT,0,Parking Lot
305,334,0,161.0,LOT,0,Parking Lot
306,334,1,161.0,LOT,0,Parking Lot
307,337,0,161.0,LOT,0,Parking Lot
308,337,1,161.0,LOT,0,Parking Lot
309,341,0,240.9,LOT,0,Parking Lot
310,341,1,241.0,LOT,0,Parking Lot
311,384,0,160.9,LOT,0,Parking Lot
312,384,1,161.0,LOT,0,Parking Lot
313,386,0,160.9,LOT,0,Parking Lot
314,386,1,161.0,LOT,0,Parking Lot
315,389,0,161.6,LOT,0,Parking Lot
316,389,1,161.7,LOT,0,Parking Lot
317,391,0,160.9,LOT,0,Parking Lot
318,391,1,161.0,LOT,0,Parking Lot
319,392,0,161.0,LOT,0,Parking Lot
320,392,1,161.1,LOT,0,Parking Lot
321,394,0,161.0,LOT,0,Parking Lot
322,394,1,161.0,LOT,0,Parking Lot
323,397,0,161.0,LOT,0,Parking Lot
324,397,1,161.0,LOT,0,Parking Lot
325,416,0,161.0,LOT,0,Parking Lot
326,416,1,161.0,LOT,0,Parking Lot
327,417,0,362.6,LOT,0,Parking Lot
328,417,1,362.6,LOT,0,Parking Lot
329,419,0,160.9,LOT,0,Parking Lot
330,419,1,161.0,LOT,0,Parking Lot
331,434,0,161.0,LOT,0,Parking Lot
332,434,1,161.0,LOT,0,Parking Lot
333,451,0,229.0,LOT,0,Parking Lot
334,451,1,229.1,LOT,0,Parking Lot
335,452,0,181.1,LOT,0,Parking Lot
336,452,1,181.2,LOT,0,Parking Lot
337,453,0,263.8,LOT,0,Parking Lot
338,453,1,791.3,LOT,0,Parking Lot
339,453,0,527.5,LOT,0,Parking Lot
340,453,1,527.6,LOT,0,Parking Lot
341,453,0,791.3,LOT,0,Parking Lot
342,453,1,263.8,LOT,0,Parking Lot
343,458,0,161.0,LOT,0,Parking Lot
344,458,1,161.1,LOT,0,Parking Lot
345,459,0,161.0,LOT,0,Parking Lot
346,459,1,161.0,LOT,0,Parking Lot
347,460,0,161.0,LOT,0,Parking Lot
348,460,1,161.0,LOT,0,Parking Lot
349,464,0,161.0,LOT,0,Parking Lot
350,464,1,161.0,LOT,0,Parking Lot
351,466,0,160.9,LOT,0,Parking Lot
352,466,1,161.0,LOT,0,Parking Lot
353,474,0,159.6,LOT,0,Parking Lot
354,474,1,159.6,LOT,0,Parking Lot
355,475,0,263.7,LOT,0,Parking Lot
356,475,1,791.1,LOT,0,Parking Lot
357,475,0,527.4,LOT,0,Parking Lot
358,475,1,527.4,LOT,0,Parking Lot
359,475,0,791.1,LOT,0,Parking Lot
360,475,1,263.7,LOT,0,Parking Lot
361,476,0,317.1,LOT,0,Parking Lot
362,476,1,951.3,LOT,0,Parking Lot
363,476,0,634.2,LOT,0,Parking Lot
364,476,1,634.2,LOT,0,Parking Lot
365,476,0,951.3,LOT,0,Parking Lot
366,476,1,317.1,LOT,0,Parking Lot
367,478,0,161.0,LOT,0,Parking Lot
368,478,1,161.0,LOT,0,Parking Lot
369,479,0,269.3,LOT,0,Parking Lot
370,479,1,807.8,LOT,0,Parking Lot
371,479,0,538.5,LOT,0,Parking Lot
372,479,1,538.6,LOT,0,Parking Lot
373,479,0,807.8,LOT,0,Parking Lot
374,479,1,269.3,LOT,0,Parking Lot
375,480,0,160.8,LOT,0,Parking Lot
376,480,1,160.8,LOT,0,Parking Lot
377,481,0,213.1,LOT,0,Parking Lot
378,481,1,213.2,LOT,0,Parking Lot
379,482,0,161.0,LOT,0,Parking Lot
380,482,1,161.1,LOT,0,Parking Lot
381,483,0,161.0,LOT,0,Parking Lot
382,483,1,161.1,LOT,0,Parking Lot
383,484,0,161.0,LOT,0,Parking Lot
384,484,1,161.1,LOT,0,Parking Lot
385,485,0,220.7,LOT,0,Parking Lot
386,485,1,220.7,LOT,0,Parking Lot
387,486,0,161.0,LOT,0,Parking Lot
388,486,1,161.0,LOT,0,Parking Lot
389,490,0,212.8,LOT,0,Parking Lot
390,490,1,212.8,LOT,0,Parking Lot
391,491,0,161.0,LOT,0,Parking Lot
392,491,1,161.0,LOT,0,Parking Lot
393,492,0,161.0,LOT,0,Parking Lot
394,492,1,161.1,LOT,0,Parking Lot
395,493,0,161.0,LOT,0,Parking Lot
396,493,1,161.0,LOT,0,Parking Lot
397,494,0,161.0,LOT,0,Parking Lot
398,494,1,161.0,LOT,0,Parking Lot
399,495,0,161.0,LOT,0,Parking Lot
400,495,1,161.0,LOT,0,Parking Lot
401,496,0,216.7,LOT,0,Parking Lot
402,496,1,216.7,LOT,0,Parking Lot
403,497,0,217.2,LOT,0,Parking Lot
404,497,1,217.3,LOT,0,Parking Lot
405,499,0,292.4,LOT,0,Parking Lot
406,499,1,877.4,LOT,0,Parking Lot
407,499,0,584.9,LOT,0,Parking Lot
408,499,1,584.9,LOT,0,Parking Lot
409,499,0,877.3,LOT,0,Parking Lot
410,499,1,292.5,LOT,0,Parking Lot
411,500,0,451.8,LOT,0,Parking Lot
412,500,1,1355.5,LOT,0,Parking Lot
413,500,0,903.6,LOT,0,Parking Lot
414,500,1,903.7,LOT,0,Parking Lot
415,500,0,1355.5,LOT,0,Parking Lot
416,500,1,451.8,LOT,0,Parking Lot
417,502,0,160.9,LOT,0,Parking Lot
418,502,1,161.0,LOT,0,Parking Lot
419,505,0,160.9,LOT,0,Parking Lot
420,505,1,161.0,LOT,0,Parking Lot
421,506,0,169.9,LOT,0,Parking Lot
422,506,1,169.9,LOT,0,Parking Lot
423,508,0,151.9,LOT,0,Parking Lot
424,508,1,152.0,LOT,0,Parking Lot
425,509,0,175.7,LOT,0,Parking Lot
426,509,1,175.8,LOT,0,Parking Lot
427,510,0,269.0,LOT,0,Parking Lot
428,510,1,807.2,LOT,0,Parking Lot
429,510,0,538.1,LOT,0,Parking Lot
430,510,1,538.1,LOT,0,Parking Lot
431,510,0,807.1,LOT,0,Parking Lot
432,510,1,269.1,LOT,0,Parking Lot
433,513,0,194.8,LOT,0,Parking Lot
434,513,1,194.9,LOT,0,Parking Lot
435,516,0,232.8,LOT,0,Parking Lot
436,516,1,232.9,LOT,0,Parking Lot
437,518,0,161.0,LOT,0,Parking Lot
438,518,1,161.0,LOT,0,Parking Lot
439,519,0,161.0,LOT,0,Parking Lot
440,519,1,161.0,LOT,0,Parking Lot
441,522,0,161.0,LOT,0,Parking Lot
442,522,1,161.1,LOT,0,Parking Lot
443,524,0,161.0,LOT,0,Parking Lot
444,524,1,161.1,LOT,0,Parking Lot
445,525,0,161.0,LOT,0,Parking Lot
446,525,1,161.0,LOT,0,Parking Lot
447,526,0,161.0,LOT,0,Parking Lot
448,526,1,161.0,LOT,0,Parking Lot
449,528,0,161.0,LOT,0,Parking Lot
450,528,1,161.0,LOT,0,Parking Lot
451,530,0,161.0,LOT,0,Parking Lot
452,530,1,161.0,LOT,0,Parking Lot
453,534,0,161.0,LOT,0,Parking Lot
454,534,1,161.1,LOT,0,Parking Lot
455,535,0,161.0,LOT,0,Parking Lot
456,535,1,161.0,LOT,0,Parking Lot
457,536,0,161.0,LOT,0,Parking Lot
458,536,1,161.1,LOT,0,Parking Lot
459,537,0,161.0,LOT,0,Parking Lot
460,537,1,161.0,LOT,0,Parking Lot
461,541,0,160.9,LOT,0,Parking Lot
462,541,1,161.0,LOT,0,Parking Lot
463,544,0,564.2,LOT,0,Parking Lot
464,544,1,1692.5,LOT,0,Parking Lot
465,544,0,1128.3,LOT,0,Parking Lot
466,544,1,1128.4,LOT,0,Parking Lot
467,544,0,1692.5,LOT,0,Parking Lot
468,544,1,564.2,LOT,0,Parking Lot
469,545,0,161.8,LOT,0,Parking Lot
470,545,1,161.8,LOT,0,Parking Lot
471,548,0,152.2,LOT,0,Parking Lot
472,548,1,152.2,LOT,0,Parking Lot
473,549,0,354.3,LOT,0,Parking Lot
474,549,1,354.3,LOT,0,Parking Lot
475,551,0,161.0,LOT,0,Parking Lot
476,551,1,161.1,LOT,0,Parking Lot
477,552,0,161.0,LOT,0,Parking Lot
478,552,1,161.1,LOT,0,Parking Lot
479,555,0,197.5,LOT,0,Parking Lot
480,555,1,197.5,LOT,0,Parking Lot
481,558,0,161.0,LOT,0,Parking Lot
482,558,1,161.0,LOT,0,Parking Lot
483,559,0,161.0,LOT,0,Parking Lot
484,559,1,161.0,LOT,0,Parking Lot
485,560,0,160.9,LOT,0,Parking Lot
486,560,1,161.0,LOT,0,Parking Lot
487,561,0,161.0,LOT,0,Parking Lot
488,561,1,161.1,LOT,0,Parking Lot
489,562,0,161.0,LOT,0,Parking Lot
490,562,1,161.0,LOT,0,Parking Lot
491,563,0,161.0,LOT,0,Parking Lot
492,563,1,161.0,LOT,0,Parking Lot
493,570,0,163.1,LOT,0,Parking Lot
494,570,1,163.1,LOT,0,Parking Lot
495,572,0,160.9,LOT,0,Parking Lot
496,572,1,161.0,LOT,0,Parking Lot
497,573,0,160.9,LOT,0,Parking Lot
498,573,1,160.9,LOT,0,Parking Lot
499,589,0,423.0,LOT,0,Parking Lot
500,589,1,1269.0,LOT,0,Parking Lot
501,589,0,846.0,LOT,0,Parking Lot
502,589,1,846.0,LOT,0,Parking Lot
503,589,0,1269.0,LOT,0,Parking Lot
504,589,1,423.0,LOT,0,Parking Lot
505,593,0,232.8,LOT,0,Parking Lot
506,593,1,232.8,LOT,0,Parking Lot
507,595,0,294.3,LOT,0,Parking Lot
508,595,1,883.0,LOT,0,Parking Lot
509,595,0,588.6,LOT,0,Parking Lot
510,595,1,588.7,LOT,0,Parking Lot
511,595,0,883.0,LOT,0,Parking Lot
512,595,1,294.3,LOT,0,Parking Lot
513,600,0,342.1,LOT,0,Parking Lot
514,600,1,684.1,LOT,0,Parking Lot
515,600,0,684.1,LOT,0,Parking Lot
516,600,1,342.1,LOT,0,Parking Lot
517,601,0,285.7,LOT,0,Parking Lot
518,601,1,285.8,LOT,0,Parking Lot
519,602,0,171.4,LOT,0,Parking Lot
520,602,1,171.5,LOT,0,Parking Lot
521,603,0,163.4,LOT,0,Parking Lot
522,603,1,163.4,LOT,0,Parking Lot
523,604,0,269.3,LOT,0,Parking Lot
524,604,1,269.3,LOT,0,Parking Lot
525,611,0,234.8,LOT,0,Parking Lot
526,611,1,234.8,LOT,0,Parking Lot
527,612,0,286.0,LOT,0,Parking Lot
528,612,1,571.9,LOT,0,Parking Lot
529,612,0,571.9,LOT,0,Parking Lot
530,612,1,286.0,LOT,0,Parking Lot
531,614,0,163.6,LOT,0,Parking Lot
532,614,1,163.6,LOT,0,Parking Lot
533,615,0,161.0,LOT,0,Parking Lot
534,615,1,161.0,LOT,0,Parking Lot
535,616,0,161.0,LOT,0,Parking Lot
536,616,1,161.0,LOT,0,Parking Lot
537,619,0,324.3,LOT,0,Parking Lot
538,619,1,648.7,LOT,0,Parking Lot
539,619,0,648.7,LOT,0,Parking Lot
540,619,1,324.3,LOT,0,Parking Lot
541,620,0,161.0,LOT,0,Parking Lot
542,620,1,161.1,LOT,0,Parking Lot
543,621,0,160.9,LOT,0,Parking Lot
544,621,1,161.0,LOT,0,Parking Lot
545,622,0,161.0,LOT,0,Parking Lot
546,622,1,161.0,LOT,0,Parking Lot
547,623,0,161.0,LOT,0,Parking Lot
548,623,1,161.1,LOT,0,Parking Lot
549,628,0,160.9,LOT,0,Parking Lot
550,628,1,161.0,LOT,0,Parking Lot
551,634,0,160.9,LOT,0,Parking Lot
552,634,1,161.0,LOT,0,Parking Lot
553,635,0,204.1,LOT,0,Parking Lot
554,635,1,204.1,LOT,0,Parking Lot
555,637,0,161.0,LOT,0,Parking Lot
556,637,1,161.1,LOT,0,Parking Lot
557,639,0,161.0,LOT,0,Parking Lot
558,639,1,161.0,LOT,0,Parking Lot
559,640,0,160.9,LOT,0,Parking Lot
560,640,1,161.0,LOT,0,Parking Lot
561,645,0,161.0,LOT,0,Parking Lot
562,645,1,161.1,LOT,0,Parking Lot
563,648,0,161.0,LOT,0,Parking Lot
564,648,1,161.0,LOT,0,Parking Lot
565,650,0,160.9,LOT,0,Parking Lot
566,650,1,161.0,LOT,0,Parking Lot
567,653,0,160.8,LOT,0,Parking Lot
568,653,1,160.9,LOT,0,Parking Lot
569,654,0,161.1,LOT,0,Parking Lot
570,654,1,161.1,LOT,0,Parking Lot
571,662,0,203.2,LOT,0,Parking Lot
572,662,1,203.3,LOT,0,Parking Lot
573,672,0,235.6,LOT,0,Parking Lot
574,672,1,235.6,LOT,0,Parking Lot
575,673,0,404.9,LOT,0,Parking Lot
576,673,1,669.9,LOT,0,Parking Lot
577,673,0,669.9,LOT,0,Parking Lot
578,673,1,404.9,LOT,0,Parking Lot
579,674,0,340.6,LOT,0,Parking Lot
580,674,1,681.3,LOT,0,Parking Lot
581,674,0,681.3,LOT,0,Parking Lot
582,674,1,340.6,LOT,0,Parking Lot
583,675,0,62.5,LOT,0,Parking Lot
584,675,1,62.6,LOT,0,Parking Lot
585,679,0,198.6,LOT,0,Parking Lot
586,679,1,198.6,LOT,0,Parking Lot
587,682,0,177.6,LOT,0,Parking Lot
588,682,1,177.6,LOT,0,Parking Lot
589,684,0,197.1,LOT,0,Parking Lot
590,684,1,197.1,LOT,0,Parking Lot
591,687,0,160.9,LOT,0,Parking Lot
592,687,1,161.0,LOT,0,Parking Lot
593,690,0,259.4,LOT,0,Parking Lot
594,690,1,259.5,LOT,0,Parking Lot
595,693,0,86.4,LOT,0,Parking Lot
596,693,1,86.4,LOT,0,Parking Lot
597,705,0,160.9,LOT,0,Parking Lot
598,705,1,160.9,LOT,0,Parking Lot
599,707,0,161.0,LOT,0,Parking Lot
