SIGNAL,TIMING,TYPE,CYCLE,OFFSET,PHASES,NOTES
PHASE,BARRIER,RING,POSITION,MIN_GREEN,MAX_GREEN,EXTENSION,YELLOW,ALL_RED
16,1,TIMED,60,8,3,NODE 16
1,1,1,1,33,33,0,3,1
2,1,1,2,9,9,0,0,0
3,1,1,3,10,10,0,3,1
17,1,TIMED,60,3,3,NODE 17
1,1,1,1,7,7,0,0,0
2,1,1,2,14,14,0,3,1
3,1,1,3,31,31,0,3,1
22,1,TIMED,60,39,3,NODE 22
1,1,1,1,12,12,0,0,0
2,1,1,2,11,11,0,3,1
3,1,1,3,29,29,0,3,1
34,1,TIMED,60,7,4,NODE 34
1,1,1,1,11,11,0,0,0
2,1,1,2,19,19,0,3,1
3,1,1,3,6,6,0,0,0
4,1,1,4,16,16,0,3,1
35,1,TIMED,60,54,3,NODE 35
1,1,1,1,12,12,0,0,0
2,1,1,2,11,11,0,3,1
3,1,1,3,29,29,0,3,1
36,1,TIMED,60,52,2,NODE 36
1,1,1,1,15,15,0,3,1
2,1,1,2,37,37,0,3,1
41,1,TIMED,60,17,2,NODE 41
1,1,1,1,5,5,0,3,1
2,1,1,2,47,47,0,3,1
42,1,TIMED,60,44,4,NODE 42
1,1,1,1,13,13,0,0,0
2,1,1,2,13,13,0,3,1
3,1,1,3,13,13,0,0,0
4,1,1,4,13,13,0,3,1
44,1,TIMED,60,38,4,NODE 44
1,1,1,1,13,13,0,0,0
2,1,1,2,13,13,0,3,1
3,1,1,3,13,13,0,0,0
4,1,1,4,13,13,0,3,1
50,1,TIMED,60,43,3,NODE 50
1,1,1,1,12,12,0,0,0
2,1,1,2,11,11,0,3,1
3,1,1,3,29,29,0,3,1
51,1,TIMED,60,44,2,NODE 51
1,1,1,1,37,37,0,3,1
2,1,1,2,15,15,0,3,1
59,1,TIMED,60,40,3,NODE 59
1,1,1,1,12,12,0,0,0
2,1,1,2,34,34,0,3,1
3,1,1,3,6,6,0,3,1
60,1,TIMED,60,3,4,NODE 60
1,1,1,1,10,10,0,0,0
2,1,1,2,11,11,0,3,1
3,1,1,3,10,10,0,0,0
4,1,1,4,21,21,0,3,1
61,1,TIMED,60,0,3,NODE 61
1,1,1,1,21,21,0,0,0
2,1,1,2,21,21,0,3,1
3,1,1,3,10,10,0,3,1
62,1,TIMED,60,31,3,NODE 62
1,1,1,1,16,16,0,0,0
2,1,1,2,8,8,0,3,1
3,1,1,3,28,28,0,3,1
65,1,TIMED,60,41,3,NODE 65
1,1,1,1,10,10,0,0,0
2,1,1,2,11,11,0,3,1
3,1,1,3,31,31,0,3,1
67,1,TIMED,60,4,4,NODE 67
