Node,X,Y
130,3959.993,1202.098
131,4054.828,1199.730
132,3962.761,1199.730
133,2867.117,3741.671
134,2751.200,3741.671
135,4349.509,1626.016
136,4204.653,1626.016
137,4874.001,-667.649
138,5890.564,-667.649
347,4916.626,1885.101
348,4915.582,1885.101
345,4915.546,2211.645
346,4912.632,2211.645
343,4907.021,1826.205
344,4906.519,1826.205
341,5026.420,1909.868
342,4940.823,1909.868
339,4919.513,1842.325
340,4489.439,1842.325
337,4128.793,1565.347
338,4239.033,1565.347
403,6300.444,-1300.506
404,6308.897,-1300.506
441,4010.960,944.924
442,4225.835,944.924
359,5709.119,2374.621
360,5712.415,2374.621
493,1482.591,4890.951
494,1780.057,4890.951
361,5726.828,2464.835
362,5727.099,2464.835
363,5723.799,2611.282
364,5723.886,2611.282
357,5709.981,2496.650
358,5711.026,2496.650
3,-55.855,470.854
4,204.491,470.854
321,6042.500,2415.163
322,5382.821,2415.163
371,1726.453,609.200
372,2321.046,609.200
365,5725.675,2890.066
366,5720.939,2890.066
11,3773.334,1320.346
12,3977.431,1320.346
437,6340.168,2676.312
438,6261.538,2676.312
369,1572.167,597.517
370,1725.650,597.517
373,2809.420,3738.133
374,2742.764,3738.133
375,2810.989,3391.622
376,2809.420,3391.622
389,2309.230,536.351
390,2335.543,536.351
439,6347.672,3756.047
440,6973.143,3756.047
367,340.830,624.892
368,282.829,624.892
197,4914.084,1831.638
198,4918.481,1831.638
195,5388.097,1941.337
196,5026.949,1941.337
333,6039.158,2633.024
334,5899.169,2633.024
335,5897.833,2627.001
336,5729.289,2627.001
455,2072.459,5584.486
456,2051.811,5584.486
453,2164.376,5289.406
454,2080.001,5289.406
181,4177.655,1314.396
182,4000.720,1314.396
179,4487.017,1748.674
180,4350.903,1748.674
185,4260.931,1404.600
186,3939.280,1404.600
183,4226.422,878.530
184,4290.400,878.530
189,3936.760,1718.471
190,3699.341,1718.471
187,4430.717,969.709
188,4264.445,969.709
193,3829.081,1727.023
194,3709.016,1727.023
191,6332.059,-1306.949
192,6333.956,-1306.949
21,3048.555,645.211
22,2347.481,645.211
19,3560.196,666.685
20,3051.481,666.685
25,4755.898,2362.954
26,5338.890,2362.954
23,3043.199,671.440
24,2769.781,671.440
29,2769.209,772.865
30,2860.437,772.865
27,2769.177,675.872
28,2598.443,675.872
33,2595.706,664.010
34,1731.800,664.010
31,2858.187,679.521
32,2598.139,679.521
37,1724.197,663.149
38,1585.059,663.149
35,1737.579,842.785
36,1647.952,842.785
233,6619.828,-1217.476
234,6574.575,-1217.476
497,2250.600,4225.106
498,2430.802,4225.106
231,6660.079,-1284.388
232,6621.713,-1284.388
405,6733.271,-1647.158
406,6911.753,-1647.158
299,2938.920,3401.204
300,2977.572,3401.204
297,2868.564,3398.788
298,2938.518,3398.788
303,2977.546,3363.212
304,2546.598,3363.212
301,2978.484,3393.957
302,3146.753,3393.957
307,2989.654,3419.533
308,2984.289,3419.533
305,2978.377,3477.782
306,3014.720,3477.782
311,2854.818,3365.961
312,2810.989,3365.961
309,3009.084,3448.753
310,2991.645,3448.753
315,5968.616,2621.320
316,6096.008,2621.320
313,5714.546,2594.571
314,5968.689,2594.571
465,2309.006,4718.607
466,2189.224,4718.607
473,2141.540,4520.107
474,2245.636,4520.107
475,2181.019,4995.811
476,2093.373,4995.811
411,5725.333,2481.050
412,5725.173,2481.050
467,2102.438,5288.577
468,2068.814,5288.577
469,2030.506,4982.886
470,2025.170,4982.886
471,2088.820,4769.930
472,2144.636,4769.930
457,2150.954,5103.498
458,2347.770,5103.498
459,2038.310,4766.577
460,2134.155,4766.577
461,2195.616,4877.730
462,2179.101,4877.730
463,2661.959,4457.947
464,2307.969,4457.947
445,1974.184,5301.541
446,2045.549,5301.541
95,3168.189,487.617
96,2264.486,487.617
97,2275.830,583.902
98,2306.390,583.902
91,2991.251,646.665
92,3161.074,646.665
93,1499.004,587.091
94,1655.677,587.091
87,2890.890,615.959
88,2892.667,615.959
89,2894.194,622.537
90,2989.529,622.537
83,803.801,595.655
84,1570.863,595.655
85,2321.046,616.161
86,2795.735,616.161
79,422.778,584.125
80,803.801,584.125
81,2797.583,619.702
82,2892.517,619.702
1,-480.541,603.804
2,654.643,603.804
9,3587.151,970.171
10,3771.846,970.171
17,3755.777,863.954
18,3558.699,863.954
289,2553.129,3362.081
290,2758.569,3362.081
291,3146.918,3410.196
292,2979.048,3410.196
287,2650.782,3743.184
288,2720.250,3743.184
401,6282.910,-1258.695
402,6299.036,-1258.695
283,3451.561,2337.895
284,3235.659,2337.895
285,3233.213,2954.636
286,2854.984,2954.636
279,5885.882,528.912
280,4659.252,528.912
281,3701.354,2048.005
282,3453.744,2048.005
415,6277.298,-1264.238
416,6306.531,-1264.238
413,6914.617,-2751.146
414,8231.933,-2751.146
293,2746.056,3395.124
294,2740.364,3395.124
295,2759.444,3387.345
296,2866.872,3387.345
153,5560.940,2498.859
154,5725.926,2498.859
151,4297.279,299.011
152,4871.895,299.011
149,3725.886,1204.058
150,4060.143,1204.058
147,5343.410,2452.553
148,5557.396,2452.553
145,5339.012,2603.590
146,5967.281,2603.590
143,365.863,298.085
144,264.285,298.085
141,354.714,496.871
142,367.556,496.871
139,3637.437,1652.743
140,3723.920,1652.743
157,4131.851,1684.583
158,4445.103,1684.583
155,2744.137,3867.544
156,2678.825,3867.544
495,2435.218,3930.266
496,2617.492,3930.266
451,2186.753,4983.576
452,2107.137,4983.576
