LINK,DIR,LANES,TYPE,USE,MIN_TYPE,MAX_TYPE,MIN_TRAV,MAX_TRAV,START,END,LENGTH,OFFSET,TOLL,TOLL_RATE,MIN_DELAY,MAX_DELAY,SPEED,SPD_FAC,CAPACITY,CAP_FAC
56032,0,2,PROHIBIT,CAR|BUS,0,0,0,0,15:00,1@17:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
56032,0,1,PROHIBIT,CAR|BUS,0,0,0,0,15:00,1@17:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
56044,0,2,PROHIBIT,CAR|BUS,0,0,0,0,16:00,1@16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
56044,0,1,PROHIBIT,CAR|BUS,0,0,0,0,16:00,1@16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
56065,0,1,PROHIBIT,CAR|BUS,0,0,0,0,15:00,1@17:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
56069,0,2,PROHIBIT,CAR|BUS,0,0,0,0,16:00,1@16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
56069,0,1,PROHIBIT,CAR|BUS,0,0,0,0,16:00,1@16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
56071,0,R1,PROHIBIT,CAR|BUS,0,0,0,0,0:00,16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
56071,0,R1,PROHIBIT,CAR|BUS,0,0,0,0,1@16:00,2@2:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
56073,0,3,PROHIBIT,CAR|BUS,0,0,0,0,16:00,1@16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
56073,0,2,PROHIBIT,CAR|BUS,0,0,0,0,16:00,1@16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
56084,0,1,PROHIBIT,CAR|BUS,0,0,0,0,16:00,1@16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
56124,0,1,PROHIBIT,CAR|BUS,0,0,0,0,15:00,1@17:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
56175,0,1,PROHIBIT,CAR|BUS,0,0,0,0,15:00,1@17:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
56895,0,1,PROHIBIT,CAR|BUS,0,0,0,0,15:00,1@17:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
58297,0,2,PROHIBIT,CAR|BUS,0,0,0,0,15:00,1@17:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
58297,0,1,PROHIBIT,CAR|BUS,0,0,0,0,15:00,1@17:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
58302,0,1..2,PROHIBIT,ANY,0,0,0,0,16:00,1@16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
58302,1,1..2,PROHIBIT,ANY,0,0,0,0,0:00,16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
58302,1,1..2,PROHIBIT,ANY,0,0,0,0,1@16:00,2@2:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
58303,0,1..2,PROHIBIT,ANY,0,0,0,0,16:00,1@16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
58303,1,1..2,PROHIBIT,ANY,0,0,0,0,0:00,16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
58303,1,1..2,PROHIBIT,ANY,0,0,0,0,1@16:00,2@2:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
58305,0,1..2,PROHIBIT,ANY,0,0,0,0,16:00,1@16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
58305,1,1..2,PROHIBIT,ANY,0,0,0,0,0:00,16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
58305,1,1..2,PROHIBIT,ANY,0,0,0,0,1@16:00,2@2:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
58306,0,1..2,PROHIBIT,ANY,0,0,0,0,16:00,1@16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
58306,1,1..2,PROHIBIT,ANY,0,0,0,0,0:00,16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
58306,1,1..2,PROHIBIT,ANY,0,0,0,0,1@16:00,2@2:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
58308,0,1..2,PROHIBIT,ANY,0,0,0,0,16:00,1@16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
58308,1,1..2,PROHIBIT,ANY,0,0,0,0,0:00,16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
58308,1,1..2,PROHIBIT,ANY,0,0,0,0,1@16:00,2@2:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
58309,1,2,PROHIBIT,CAR|BUS,0,0,0,0,0:00,16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
