LINK,POINTS
X_COORD,Y_COORD
758700.2,3319252.8
758510.8,3319208.7
758308.4,3319197.3
758096.0,3319218.8
210,1
757021.2,3317982.3
211,1
756874.7,3317945.9
215,1
757282.3,3318113.3
217,1
757663.1,3318292.3
218,1
757917.2,3318339.9
221,4
758708.9,3319077.6
758768.0,3318986.4
758825.8,3318944.2
758930.5,3318924.8
223,3
759173.8,3319055.8
759124.6,3319130.9
759085.1,3319200.8
224,13
759508.0,3318851.5
759334.1,3318933.5
759175.8,3319009.2
758970.7,3319106.9
758849.8,3319157.0
758726.9,3319160.8
758644.4,3319139.0
758556.3,3319100.6
758468.7,3319038.9
758387.7,3318957.6
758336.6,3318899.7
758281.0,3318826.7
758221.1,3318728.8
226,1
759049.9,3319488.6
230,3
758786.3,3319301.6
758719.7,3319224.9
758706.6,3319175.5
231,1
759431.0,3318841.4
232,1
759356.8,3318929.4
233,1
758982.9,3318920.6
236,1
759603.0,3318789.9
239,2
759082.1,3319331.4
759168.8,3319469.5
242,2
759292.8,3319635.9
759399.2,3319747.3
243,2
759286.9,3319684.7
759148.0,3319550.8
245,8
765822.6,3314943.5
765816.6,3314782.4
765712.6,3314543.7
765665.1,3314446.0
765698.1,3314318.0
765731.0,3314190.0
765852.9,3314096.3
766034.7,3314004.1
246,1
766050.0,3317674.5
249,1
766021.2,3320560.2
251,3
765913.7,3323013.9
765946.7,3323013.3
765987.8,3323015.4
255,1
766158.3,3315499.0
257,1
768885.0,3316628.8
262,1
768855.7,3316621.8
263,1
766000.2,3320547.5
265,3
765911.8,3323062.6
765871.4,3323054.8
765833.9,3323049.3
266,2
766000.2,3323054.3
765933.9,3323051.5
267,4
766048.0,3323070.4
766007.1,3323039.8
765968.4,3323004.9
765936.2,3322940.3
268,2
769967.9,3316649.9
769873.7,3316459.3
271,1
771702.2,3316635.0
273,3
765945.9,3322891.4
765990.9,3322943.4
766051.7,3322977.5
283,1
761169.9,3312519.3
284,1
760842.1,3312555.0
302,1
764197.1,3312361.5
304,1
765584.4,3312293.0
317,1
763842.8,3320049.9
318,3
765046.4,3319931.9
765141.4,3319920.1
765197.4,3319935.6
320,1
764433.3,3320025.5
325,1
761284.4,3319039.1
327,2
760389.5,3318795.3
760595.6,3318833.1
329,2
760025.6,3318753.9
760196.7,3318771.2
330,2
760690.0,3318861.2
760844.1,3318906.5
333,1
761118.5,3318985.4
334,1
761905.8,3319298.5
337,1
761589.3,3319161.0
342,1
760928.8,3321776.4
343,1
760855.4,3321676.6
344,2
761145.4,3322233.5
761242.7,3322322.9
345,1
761138.5,3322578.5
346,2
761188.9,3322599.3
761102.4,3322450.3
347,3
761269.0,3322618.3
761229.0,3322621.9
761137.2,3322633.5
348,1
760453.1,3320861.2
349,1
760424.4,3320871.4
350,2
759908.4,3320254.8
760052.0,3320394.3
351,1
760000.4,3320371.3
352,1
760231.1,3320632.7
353,1
760209.1,3320561.4
355,1
760693.9,3321297.1
356,2
760558.4,3321016.1
760672.5,3321198.5
357,1
760593.9,3321115.0
358,2
760431.5,3322845.7
760588.9,3322757.8
359,2
760941.2,3322674.6
760780.4,3322739.4
360,3
760369.6,3322935.7
760305.3,3322966.2
760232.7,3323001.2
361,1
760741.6,3322697.4
363,1
761049.8,3322269.4
364,1
761008.9,3322001.5
365,1
760949.3,3321913.0
366,3
760708.1,3322765.1
760627.6,3322800.0
760555.0,3322843.9
367,4
761817.0,3322700.7
761791.2,3322706.9
761759.2,3322716.3
761663.8,3322746.7
369,2
761935.6,3322572.5
762020.5,3322576.1
370,2
761436.0,3322763.2
761341.9,3322739.1
373,1
761731.0,3322511.8
374,2
761652.4,3322563.3
761787.8,3322561.8
376,2
761378.0,3322413.2
761504.6,3322465.3
377,1
761350.0,3322560.9
379,1
761802.2,3322626.3
384,1
763401.4,3319914.9
386,1
763067.0,3319810.6
390,1
765316.9,3319858.6
392,1
764745.6,3319960.1
404,2
765534.1,3319809.7
765435.4,3319832.2
422,1
763959.0,3320082.0
475,1
767474.4,3313008.4
476,3
768290.7,3313974.9
768598.3,3313617.8
768881.2,3313453.1
477,3
769162.8,3315110.5
769219.7,3315063.4
769271.2,3315024.8
480,2
769169.8,3315140.4
769086.8,3315219.7
483,1
767173.4,3312210.1
494,1
768141.1,3312186.2
496,1
769012.4,3312129.3
500,2
767453.8,3315627.9
767768.5,3314970.5
503,1
769054.4,3315213.6
504,1
769029.4,3315375.0
511,1
770950.5,3312048.2
521,1
771138.1,3311786.5
522,2
771600.7,3311478.7
771741.2,3311425.4
523,4
771108.6,3312033.1
771121.2,3312025.1
771131.9,3312010.9
771135.0,3311994.5
524,4
771536.7,3312031.4
771619.8,3312039.8
771707.5,3312056.0
771801.3,3312073.8
525,2
771942.4,3311350.1
771823.0,3311406.1
526,2
771934.8,3312120.5
771760.6,3312077.8
528,6
771333.9,3311585.3
771286.5,3311604.1
771235.7,3311631.4
771209.8,3311656.6
771180.4,3311689.8
771155.1,3311734.0
530,2
771669.2,3311465.9
771515.1,3311519.9
532,1
771375.0,3312041.9
534,2
771588.9,3312050.7
771496.1,3312046.8
535,2
772277.2,3311213.5
772419.8,3311164.2
536,1
772048.3,3311310.9
537,2
771938.5,3311337.1
772083.9,3311283.6
538,1
772236.5,3312211.0
541,2
771950.2,3312113.5
772074.7,3312154.7
542,2
772388.5,3312457.5
772372.7,3312382.9
543,1
772424.8,3312365.6
544,5
770521.5,3313192.7
770705.5,3313004.2
771161.4,3313101.1
771298.1,3313211.7
772037.1,3313143.9
545,5
770865.0,3315316.1
770903.8,3315276.4
770995.5,3315194.4
771043.4,3315168.5
771078.6,3315177.5
548,5
771073.4,3315199.1
771033.5,3315187.3
771004.7,3315205.5
770932.1,3315274.3
770869.3,3315332.5
549,2
769785.2,3313153.2
770262.6,3313186.4
551,2
770050.7,3314908.2
770142.2,3314932.1
552,2
770165.0,3314965.3
770071.3,3314935.8
555,2
769388.6,3314976.7
769516.4,3314963.5
557,1
769402.7,3315002.2
558,1
769889.8,3314920.6
560,2
770395.1,3315019.7
770596.3,3315100.6
561,3
770714.3,3315198.4
770790.5,3315273.6
770832.1,3315309.9
562,2
770591.0,3315122.2
770420.2,3315055.6
563,3
770838.5,3315337.2
770810.5,3315322.9
770755.2,3315267.3
570,1
772412.8,3314367.1
571,1
771516.9,3315681.8
574,1
771627.4,3315896.2
583,1
771556.3,3315768.2
589,1
769223.5,3318801.9
597,3
768922.2,3322839.9
769028.1,3322792.4
769062.8,3322772.1
599,3
768922.6,3322588.0
768983.5,3322542.4
769068.3,3322504.8
600,7
769111.4,3323218.8
769150.3,3323105.8
769214.2,3322957.4
769259.7,3322826.6
769425.9,3322831.0
769585.7,3322813.5
769644.9,3322836.3
602,4
769285.4,3319348.0
769241.4,3319381.9
769206.3,3319417.5
769183.6,3319455.8
607,1
769123.2,3322635.9
608,2
769209.3,3322513.0
769178.9,3322500.3
609,3
769155.9,3322753.5
769096.6,3322791.6
769025.1,3322834.7
610,2
769121.6,3322799.1
769076.7,3322821.7
612,2
770404.2,3321535.6
770198.9,3321544.1
614,1
767451.1,3318306.2
622,1
766813.2,3318714.1
626,2
766703.9,3318738.6
766799.7,3318683.9
628,1
766667.5,3318783.8
634,1
767168.9,3318456.8
635,1
767036.3,3318567.5
639,1
768434.6,3317308.8
640,1
768534.0,3317208.9
641,2
767990.5,3317931.4
768017.3,3317912.9
644,1
768034.4,3317937.1
645,1
767710.7,3318114.4
648,1
768389.0,3317444.1
650,1
768552.5,3317130.7
655,1
768015.8,3319639.9
657,1
768022.7,3319659.8
658,1
767830.4,3319669.2
659,1
768125.7,3319635.3
662,1
768546.0,3319635.8
666,1
768949.5,3319614.6
674,1
767767.4,3320577.3
678,1
767380.5,3322960.6
687,1
766087.5,3320816.5
688,2
766070.5,3320871.1
766059.9,3320825.5
696,2
766184.7,3322844.7
766182.4,3322803.8
698,2
766714.3,3322990.4
766874.4,3322980.8
701,2
766657.1,3323021.5
766529.9,3323029.3
702,3
766609.2,3323038.5
766523.8,3323047.8
766452.2,3323057.5
703,2
766846.0,3323035.0
766697.2,3323047.4
716,6
766106.6,3323015.6
766120.8,3323014.8
766149.4,3323014.6
766177.6,3323015.3
766203.4,3323016.0
766252.8,3323014.5
718,1
766442.3,3322975.2
720,4
766177.5,3323304.8
766166.7,3323291.7
766145.2,3323273.5
766120.3,3323252.9
722,1
766249.7,3323046.8
723,4
766370.7,3323073.7
766299.1,3323083.4
766231.6,3323093.1
766142.4,3323095.5
725,2
766258.2,3323200.2
766250.9,3323290.9
727,1
766169.0,3322979.2
729,2
766163.0,3323241.4
766131.0,3323245.2
730,1
766194.3,3323174.1
733,6
766074.4,3323214.4
766052.5,3323174.5
766041.0,3323150.2
766012.7,3323116.7
765993.4,3323100.0
765970.8,3323082.2
736,1
766215.4,3323187.0
739,1
766547.1,3322999.9
740,7
766558.3,3323060.0
766520.5,3323068.2
766466.8,3323078.2
766412.3,3323093.7
766355.8,3323110.3
766309.5,3323124.5
766287.7,3323145.0
747,1
767043.0,3322951.0
748,2
767048.7,3322974.1
767208.9,3322961.8
750,1
766817.2,3323014.6
752,1
766959.0,3323028.6
764,3
769596.2,3321575.3
769286.7,3321597.5
768786.0,3321629.4
768,1
768058.1,3322842.8
771,2
768234.1,3322890.8
768383.5,3322894.4
772,1
768276.3,3322910.6
775,4
768964.6,3322860.8
768904.2,3322881.7
768842.3,3322900.8
768771.7,3322912.9
776,5
768932.1,3322887.4
768868.1,3322906.8
768832.5,3322913.4
768785.0,3322922.1
768740.8,3322926.0
777,4
768274.6,3322949.9
768207.6,3322961.9
768157.8,3322976.8
768126.3,3322990.9
779,4
768704.8,3322886.4
768751.2,3322882.2
768804.3,3322873.4
768839.5,3322867.0
781,1
768090.0,3322609.7
782,1
768063.1,3322638.5
795,1
767929.8,3322926.9
797,1
767847.3,3322965.6
799,6
768057.4,3323079.4
768042.3,3323126.1
768030.0,3323148.1
768000.1,3323179.6
767979.1,3323205.0
767963.9,3323252.8
802,8
767952.7,3323019.5
767953.1,3322987.9
767957.1,3322958.3
767968.3,3322940.0
767989.3,3322918.4
768015.5,3322901.6
768051.3,3322890.1
768108.3,3322889.1
803,1
767979.3,3323070.6
804,2
767946.7,3323165.8
767951.6,3323093.0
814,1
768667.5,3322889.5
816,4
769715.8,3318175.3
769709.6,3318213.9
769710.6,3318252.5
769715.1,3318284.6
820,1
770807.2,3318646.0
822,3
771621.8,3318352.7
771640.7,3318403.3
771665.6,3318446.6
823,3
771647.3,3318330.6
771667.7,3318369.4
771695.6,3318408.2
824,2
770851.0,3318672.3
770680.8,3318686.9
825,2
771543.1,3318363.8
771587.4,3318218.8
827,5
771593.8,3318340.5
771588.1,3318312.2
771589.7,3318291.5
771590.1,3318251.5
771603.9,3318196.7
828,1
770018.2,3317011.7
834,1
769943.1,3317329.8
840,2
769638.9,3319116.2
769582.5,3319156.6
841,4
769881.4,3318564.2
769905.7,3318562.0
769940.3,3318550.9
770054.3,3318531.2
842,5
769571.9,3319149.0
769625.9,3319110.4
769652.4,3319088.6
769683.5,3319046.3
769709.6,3319003.1
844,3
769888.7,3318672.0
769789.9,3318763.1
769775.8,3318775.0
847,1
769746.1,3318860.8
848,1
769719.3,3319012.3
849,1
769753.1,3318433.0
850,3
769735.8,3318411.8
769717.6,3318342.9
769694.2,3318254.7
851,2
769765.4,3318592.8
769777.4,3318599.0
852,1
769779.2,3318607.0
859,1
769673.2,3319579.5
862,3
770166.0,3318530.3
770195.9,3318538.6
770301.7,3318579.5
863,2
770516.8,3318687.5
770452.7,3318682.9
864,3
770261.2,3318627.2
770115.5,3318579.9
770043.6,3318579.3
865,2
770467.1,3318643.0
770589.1,3318654.1
867,1
770193.8,3319554.6
868,1
770673.7,3319525.6
879,1
772308.0,3317082.4
881,4
772215.6,3316949.4
772197.7,3316914.9
772151.7,3316810.8
772063.7,3316649.5
891,1
771621.4,3318226.5
892,1
771633.2,3318245.9
895,1
771389.6,3318617.8
896,5
771551.0,3318489.0
771591.2,3318470.1
771621.8,3318459.9
771653.7,3318459.5
771701.0,3318470.3
898,15
771657.8,3318506.8
771639.4,3318495.3
771621.6,3318486.6
771606.5,3318482.4
771590.5,3318483.6
