SIGNAL,PHASING,PHASE,MOVEMENTS,DETECTORS
MOVEMENT,LINK,DIR,TO_LINK,PROTECTION
WB_RIGHT,1715,1,4944,PROTECTED
1528,1,2,2,
NB_LEFT,4865,0,4944,PROTECTED
NB_THRU,4865,0,1715,PROTECTED
1530,1,1,2,
EB_LEFT,7599,0,1780,PROTECTED
SB_LEFT,1716,1,4489,PROTECTED
1530,1,2,8,
EB_LEFT,7599,0,1780,PERMITTED
EB_THRU,7599,0,1716,PROTECTED
EB_RIGHT,7599,0,4489,PROTECTED
EB_RIGHT,4489,1,1716,STOP_PERMIT
SB_RIGHT,1780,0,7599,STOP_PERMIT
SB_LEFT,1716,1,4489,PERMITTED
SB_THRU,1716,1,7599,PROTECTED
SB_RIGHT,1716,1,1780,PROTECTED
1530,1,4,8,
EB_RIGHT,7599,0,4489,STOP_PERMIT
EB_LEFT,4489,1,7599,PERMITTED
EB_THRU,4489,1,1780,PROTECTED
EB_RIGHT,4489,1,1716,PROTECTED
SB_LEFT,1780,0,1716,PERMITTED
SB_THRU,1780,0,4489,PROTECTED
SB_RIGHT,1780,0,7599,PROTECTED
SB_RIGHT,1716,1,1780,STOP_PERMIT
1530,1,3,2,
EB_LEFT,4489,1,7599,PROTECTED
SB_LEFT,1780,0,1716,PROTECTED
1531,1,1,3,
EB_LEFT,4902,0,4865,PROTECTED
EB_RIGHT,4902,0,1716,PROTECTED
SB_RIGHT,4865,1,4902,STOP_PERMIT
1531,1,3,5,
EB_RIGHT,4902,0,1716,STOP_PERMIT
SB_THRU,4865,1,1716,PROTECTED
SB_RIGHT,4865,1,4902,PROTECTED
EB_LEFT,1716,0,4902,PERMITTED
EB_THRU,1716,0,4865,PROTECTED
1531,1,2,2,
EB_LEFT,1716,0,4902,PROTECTED
EB_THRU,1716,0,4865,PROTECTED
1534,1,1,3,
NB_LEFT,2357,0,2358,PROTECTED
NB_THRU,2357,0,1718,PROTECTED
WB_RIGHT,2328,0,1718,STOP_PERMIT
1534,1,2,2,
WB_THRU,2328,0,2358,PROTECTED
WB_RIGHT,2328,0,1718,PROTECTED
1536,1,1,2,
EB_LEFT,5731,1,1719,PROTECTED
EB_THRU,5731,1,1816,PROTECTED
1536,1,2,5,
EB_LEFT,5731,1,1719,PERMITTED
EB_THRU,5731,1,1816,PROTECTED
NB_RIGHT,2579,0,1816,STOP_PERMIT
WB_THRU,1816,1,5731,PROTECTED
WB_RIGHT,1816,1,1719,PROTECTED
1536,1,3,4,
NB_LEFT,2579,0,5731,PROTECTED
NB_THRU,2579,0,1719,PROTECTED
NB_RIGHT,2579,0,1816,PROTECTED
WB_RIGHT,1816,1,1719,STOP_PERMIT
1537,1,1,3,
NB_LEFT,3703,0,3707,PROTECTED
NB_THRU,3703,0,3686,PROTECTED
NB_RIGHT,1719,0,3686,STOP_PERMIT
1537,1,2,2,
NB_THRU,1719,0,3707,PROTECTED
NB_RIGHT,1719,0,3686,PROTECTED
1538,1,1,2,
EB_LEFT,6071,0,2833,PROTECTED
EB_THRU,6071,0,1720,PROTECTED
1538,1,2,5,
EB_LEFT,6071,0,2833,PERMITTED
EB_THRU,6071,0,1720,PROTECTED
NB_RIGHT,2838,0,1720,STOP_PERMIT
WB_THRU,1720,1,6071,PROTECTED
WB_RIGHT,1720,1,2833,PROTECTED
1538,1,3,4,
NB_LEFT,2838,0,6071,PROTECTED
NB_THRU,2838,0,2833,PROTECTED
NB_RIGHT,2838,0,1720,PROTECTED
WB_RIGHT,1720,1,2833,STOP_PERMIT
1541,1,2,4,
EB_THRU,8177,0,3878,PROTECTED
SB_LEFT,3878,0,3876,PERMITTED
SB_THRU,3878,0,8177,PROTECTED
EB_RIGHT,1721,0,8177,STOP_PERMIT
1541,1,1,2,
SB_LEFT,3878,0,3876,PROTECTED
SB_THRU,3878,0,8177,PROTECTED
1541,1,3,3,
EB_LEFT,1721,0,3878,PROTECTED
EB_THRU,1721,0,3876,PROTECTED
EB_RIGHT,1721,0,8177,PROTECTED
1546,1,1,3,
NB_LEFT,6259,0,5193,PROTECTED
NB_RIGHT,6259,0,1725,PROTECTED
EB_RIGHT,5193,1,6259,STOP_PERMIT
1546,1,3,5,
NB_RIGHT,6259,0,1725,STOP_PERMIT
EB_THRU,5193,1,1725,PROTECTED
EB_RIGHT,5193,1,6259,PROTECTED
WB_LEFT,1725,1,6259,PERMITTED
WB_THRU,1725,1,5193,PROTECTED
1546,1,2,2,
WB_LEFT,1725,1,6259,PROTECTED
WB_THRU,1725,1,5193,PROTECTED
1547,1,1,4,
SB_LEFT,8587,0,6260,PROTECTED
SB_THRU,8587,0,8588,PROTECTED
SB_RIGHT,8587,0,1725,PROTECTED
EB_RIGHT,1725,0,8588,STOP_PERMIT
1547,1,3,5,
SB_RIGHT,8587,0,1725,STOP_PERMIT
WB_LEFT,6260,1,8588,PERMITTED
WB_THRU,6260,1,1725,PROTECTED
EB_THRU,1725,0,6260,PROTECTED
EB_RIGHT,1725,0,8588,PROTECTED
1547,1,2,2,
WB_LEFT,6260,1,8588,PROTECTED
WB_THRU,6260,1,1725,PROTECTED
1548,1,2,5,
NB_THRU,5194,1,1726,PROTECTED
NB_RIGHT,5194,1,1727,PROTECTED
WB_RIGHT,1727,1,1726,STOP_PERMIT
SB_LEFT,1726,1,1727,PERMITTED
SB_THRU,1726,1,5194,PROTECTED
1548,1,3,3,
NB_RIGHT,5194,1,1727,STOP_PERMIT
WB_LEFT,1727,1,5194,PROTECTED
WB_RIGHT,1727,1,1726,PROTECTED
1548,1,1,2,
SB_LEFT,1726,1,1727,PROTECTED
SB_THRU,1726,1,5194,PROTECTED
1553,1,1,2,
SB_LEFT,5503,1,1731,PROTECTED
SB_THRU,5503,1,3342,PROTECTED
1553,1,2,4,
SB_LEFT,5503,1,1731,PERMITTED
SB_THRU,5503,1,3342,PROTECTED
NB_THRU,3342,0,5503,PROTECTED
NB_RIGHT,3342,0,1731,PROTECTED
1554,1,1,2,
NB_RIGHT,5646,0,5505,PROTECTED
EB_RIGHT,1731,0,5646,STOP_PERMIT
1554,1,3,4,
NB_RIGHT,5646,0,5505,STOP_PERMIT
WB_LEFT,5505,1,5646,PERMITTED
EB_THRU,1731,0,5505,PROTECTED
EB_RIGHT,1731,0,5646,PROTECTED
1554,1,2,1,
WB_LEFT,5505,1,5646,PROTECTED
1558,1,1,4,
WB_LEFT,8614,0,5645,PROTECTED
WB_THRU,8614,0,8615,PROTECTED
WB_RIGHT,8614,0,3545,PROTECTED
SB_RIGHT,3545,1,8615,STOP_PERMIT
1558,1,3,5,
WB_RIGHT,8614,0,3545,STOP_PERMIT
NB_LEFT,5645,1,8615,PERMITTED
NB_THRU,5645,1,3545,PROTECTED
SB_THRU,3545,1,5645,PROTECTED
SB_RIGHT,3545,1,8615,PROTECTED
1558,1,2,2,
NB_LEFT,5645,1,8615,PROTECTED
NB_THRU,5645,1,3545,PROTECTED
1561,1,1,2,
NB_LEFT,5181,1,8621,PROTECTED
NB_THRU,5181,1,1735,PROTECTED
1561,1,2,4,
NB_LEFT,5181,1,8621,PERMITTED
NB_THRU,5181,1,1735,PROTECTED
SB_THRU,1735,1,5181,PROTECTED
SB_RIGHT,1735,1,8621,PROTECTED
1563,1,1,2,
NB_LEFT,3599,0,3597,PROTECTED
SB_LEFT,1736,1,3556,PROTECTED
1563,1,2,8,
NB_LEFT,3599,0,3597,PERMITTED
NB_THRU,3599,0,1736,PROTECTED
NB_RIGHT,3599,0,3556,PROTECTED
EB_RIGHT,3597,0,3599,STOP_PERMIT
WB_RIGHT,3556,1,1736,STOP_PERMIT
SB_LEFT,1736,1,3556,PERMITTED
SB_THRU,1736,1,3599,PROTECTED
SB_RIGHT,1736,1,3597,PROTECTED
1563,1,4,8,
NB_RIGHT,3599,0,3556,STOP_PERMIT
EB_LEFT,3597,0,1736,PERMITTED
EB_THRU,3597,0,3556,PROTECTED
EB_RIGHT,3597,0,3599,PROTECTED
WB_LEFT,3556,1,3599,PERMITTED
WB_THRU,3556,1,3597,PROTECTED
WB_RIGHT,3556,1,1736,PROTECTED
SB_RIGHT,1736,1,3597,STOP_PERMIT
1563,1,3,2,
EB_LEFT,3597,0,1736,PROTECTED
WB_LEFT,3556,1,3599,PROTECTED
1570,1,2,5,
WB_THRU,5886,1,5885,PROTECTED
WB_RIGHT,5886,1,3777,PROTECTED
EB_LEFT,5885,0,3777,PERMITTED
EB_THRU,5885,0,5886,PROTECTED
NB_RIGHT,1740,0,5886,STOP_PERMIT
1570,1,3,4,
WB_RIGHT,5886,1,3777,STOP_PERMIT
NB_LEFT,1740,0,5885,PROTECTED
NB_THRU,1740,0,3777,PROTECTED
NB_RIGHT,1740,0,5886,PROTECTED
1570,1,1,2,
EB_LEFT,5885,0,3777,PROTECTED
EB_THRU,5885,0,5886,PROTECTED
1572,1,2,5,
WB_THRU,8253,0,6140,PROTECTED
WB_RIGHT,8253,0,4209,PROTECTED
SB_LEFT,6140,1,4209,PERMITTED
SB_THRU,6140,1,8253,PROTECTED
EB_RIGHT,1741,0,8253,STOP_PERMIT
1572,1,3,4,
WB_RIGHT,8253,0,4209,STOP_PERMIT
EB_LEFT,1741,0,6140,PROTECTED
EB_THRU,1741,0,4209,PROTECTED
EB_RIGHT,1741,0,8253,PROTECTED
1572,1,1,2,
SB_LEFT,6140,1,4209,PROTECTED
SB_THRU,6140,1,8253,PROTECTED
1574,1,1,2,
NB_LEFT,5376,1,2244,PROTECTED
NB_THRU,5376,1,1742,PROTECTED
1574,1,2,5,
NB_LEFT,5376,1,2244,PERMITTED
NB_THRU,5376,1,1742,PROTECTED
WB_RIGHT,2350,0,1742,STOP_PERMIT
SB_THRU,1742,0,5376,PROTECTED
SB_RIGHT,1742,0,2244,PROTECTED
1574,1,3,4,
WB_LEFT,2350,0,5376,PROTECTED
WB_THRU,2350,0,2244,PROTECTED
WB_RIGHT,2350,0,1742,PROTECTED
SB_RIGHT,1742,0,2244,STOP_PERMIT
1576,1,1,3,
WB_LEFT,2358,0,2354,PROTECTED
WB_THRU,2358,0,2355,PROTECTED
SB_RIGHT,1743,0,2355,STOP_PERMIT
1576,1,2,2,
SB_THRU,1743,0,2354,PROTECTED
SB_RIGHT,1743,0,2355,PROTECTED
1577,1,1,2,
WB_LEFT,3705,0,1744,PROTECTED
WB_THRU,3705,0,3697,PROTECTED
1577,1,2,5,
WB_LEFT,3705,0,1744,PERMITTED
WB_THRU,3705,0,3697,PROTECTED
EB_THRU,3697,1,3702,PROTECTED
EB_RIGHT,3697,1,1744,PROTECTED
NB_RIGHT,1744,1,3702,STOP_PERMIT
1577,1,3,3,
EB_RIGHT,3697,1,1744,STOP_PERMIT
NB_LEFT,1744,1,3697,PROTECTED
NB_RIGHT,1744,1,3702,PROTECTED
1579,1,1,2,
SB_THRU,5375,0,1745,PROTECTED
EB_RIGHT,3702,0,1745,STOP_PERMIT
1579,1,2,2,
EB_THRU,3702,0,3703,PROTECTED
EB_RIGHT,3702,0,1745,PROTECTED
1580,1,1,1,
WB_LEFT,5731,0,5730,PROTECTED
1580,1,2,2,
SB_LEFT,1745,0,5731,PROTECTED
SB_THRU,1745,0,5730,PROTECTED
1583,1,1,2,
SB_LEFT,5380,0,3739,PROTECTED
SB_THRU,5380,0,1748,PROTECTED
1583,1,2,4,
SB_LEFT,5380,0,3739,PERMITTED
SB_THRU,5380,0,1748,PROTECTED
NB_THRU,1748,1,5380,PROTECTED
NB_RIGHT,1748,1,3739,PROTECTED
1583,1,3,3,
EB_LEFT,3741,0,5380,PROTECTED
EB_THRU,3741,0,3739,PROTECTED
NB_RIGHT,1748,1,3739,STOP_PERMIT
1585,1,1,2,
SB_LEFT,5381,0,3744,PROTECTED
SB_THRU,5381,0,1749,PROTECTED
1585,1,2,5,
SB_LEFT,5381,0,3744,PERMITTED
SB_THRU,5381,0,1749,PROTECTED
EB_RIGHT,3739,0,1749,STOP_PERMIT
NB_THRU,1749,1,5381,PROTECTED
NB_RIGHT,1749,1,3744,PROTECTED
1585,1,3,4,
EB_LEFT,3739,0,5381,PROTECTED
EB_THRU,3739,0,3744,PROTECTED
EB_RIGHT,3739,0,1749,PROTECTED
NB_RIGHT,1749,1,3744,STOP_PERMIT
1587,1,2,5,
EB_THRU,5889,1,5885,PROTECTED
EB_RIGHT,5889,1,1750,PROTECTED
WB_LEFT,5885,1,1750,PERMITTED
WB_THRU,5885,1,5889,PROTECTED
SB_RIGHT,3778,0,5889,STOP_PERMIT
1587,1,3,4,
EB_RIGHT,5889,1,1750,STOP_PERMIT
SB_LEFT,3778,0,5885,PROTECTED
SB_THRU,3778,0,1750,PROTECTED
SB_RIGHT,3778,0,5889,PROTECTED
1587,1,1,2,
WB_LEFT,5885,1,1750,PROTECTED
WB_THRU,5885,1,5889,PROTECTED
1589,1,1,4,
EB_LEFT,5592,0,3799,PROTECTED
EB_THRU,5592,0,3797,PROTECTED
EB_RIGHT,5592,0,1751,PROTECTED
NB_RIGHT,1751,1,3797,STOP_PERMIT
1589,1,3,5,
EB_RIGHT,5592,0,1751,STOP_PERMIT
SB_LEFT,3799,1,3797,PERMITTED
SB_THRU,3799,1,1751,PROTECTED
NB_THRU,1751,1,3799,PROTECTED
NB_RIGHT,1751,1,3797,PROTECTED
1589,1,2,2,
SB_LEFT,3799,1,3797,PROTECTED
SB_THRU,3799,1,1751,PROTECTED
1592,1,1,2,
EB_LEFT,6196,1,4592,PROTECTED
EB_THRU,6196,1,1769,PROTECTED
1592,1,2,5,
EB_LEFT,6196,1,4592,PERMITTED
EB_THRU,6196,1,1769,PROTECTED
WB_THRU,1769,1,6196,PROTECTED
WB_RIGHT,1769,1,4592,PROTECTED
EB_RIGHT,1752,0,1769,STOP_PERMIT
1592,1,3,4,
WB_RIGHT,1769,1,4592,STOP_PERMIT
EB_LEFT,1752,0,6196,PROTECTED
EB_THRU,1752,0,4592,PROTECTED
EB_RIGHT,1752,0,1769,PROTECTED
1593,1,2,5,
EB_THRU,7520,0,1753,PROTECTED
EB_RIGHT,7520,0,3750,PROTECTED
NB_RIGHT,3750,1,1753,STOP_PERMIT
WB_LEFT,1753,1,3750,PERMITTED
WB_THRU,1753,1,7520,PROTECTED
1593,1,3,3,
EB_RIGHT,7520,0,3750,STOP_PERMIT
NB_LEFT,3750,1,7520,PROTECTED
NB_RIGHT,3750,1,1753,PROTECTED
1593,1,1,2,
WB_LEFT,1753,1,3750,PROTECTED
WB_THRU,1753,1,7520,PROTECTED
1595,1,1,2,
NB_LEFT,3878,1,1754,PROTECTED
NB_THRU,3878,1,3856,PROTECTED
1595,1,2,4,
NB_LEFT,3878,1,1754,PERMITTED
NB_THRU,3878,1,3856,PROTECTED
WB_RIGHT,3877,0,3856,STOP_PERMIT
SB_THRU,3856,1,3878,PROTECTED
1595,1,3,3,
WB_LEFT,3877,0,3878,PROTECTED
WB_THRU,3877,0,1754,PROTECTED
WB_RIGHT,3877,0,3856,PROTECTED
1602,1,1,2,
NB_LEFT,5664,1,3551,PROTECTED
NB_THRU,5664,1,3495,PROTECTED
1602,1,2,5,
NB_LEFT,5664,1,3551,PERMITTED
NB_THRU,5664,1,3495,PROTECTED
SB_THRU,3495,1,5664,PROTECTED
SB_RIGHT,3495,1,3551,PROTECTED
WB_RIGHT,1757,0,3495,STOP_PERMIT
1602,1,3,4,
SB_RIGHT,3495,1,3551,STOP_PERMIT
WB_LEFT,1757,0,5664,PROTECTED
WB_THRU,1757,0,3551,PROTECTED
WB_RIGHT,1757,0,3495,PROTECTED
1606,1,1,1,
NB_LEFT,6140,0,1760,PROTECTED
1606,1,2,2,
WB_LEFT,4211,0,6140,PROTECTED
WB_THRU,4211,0,1760,PROTECTED
1608,1,1,2,
SB_LEFT,7655,0,1761,PROTECTED
SB_THRU,7655,0,4217,PROTECTED
1608,1,2,5,
SB_LEFT,7655,0,1761,PERMITTED
SB_THRU,7655,0,4217,PROTECTED
NB_THRU,4217,1,7655,PROTECTED
NB_RIGHT,4217,1,1761,PROTECTED
WB_RIGHT,1761,1,7655,STOP_PERMIT
1608,1,3,3,
NB_RIGHT,4217,1,1761,STOP_PERMIT
WB_LEFT,1761,1,4217,PROTECTED
WB_RIGHT,1761,1,7655,PROTECTED
1609,1,1,2,
WB_LEFT,4594,1,1768,PROTECTED
WB_THRU,4594,1,1761,PROTECTED
1609,1,2,4,
WB_LEFT,4594,1,1768,PERMITTED
WB_THRU,4594,1,1761,PROTECTED
NB_RIGHT,1768,1,4594,STOP_PERMIT
EB_THRU,1761,0,4594,PROTECTED
1609,1,3,1,
NB_RIGHT,1768,1,4594,PROTECTED
1612,1,1,2,
SB_LEFT,5901,1,1763,PROTECTED
SB_THRU,5901,1,3824,PROTECTED
1612,1,2,4,
SB_LEFT,5901,1,1763,PERMITTED
SB_THRU,5901,1,3824,PROTECTED
EB_RIGHT,4340,0,3824,STOP_PERMIT
WB_THRU,3824,1,5901,PROTECTED
1612,1,3,3,
EB_LEFT,4340,0,5901,PROTECTED
EB_THRU,4340,0,1763,PROTECTED
EB_RIGHT,4340,0,3824,PROTECTED
1613,1,1,1,
SB_LEFT,4739,0,4737,PROTECTED
1613,1,2,2,
EB_LEFT,1763,0,4739,PROTECTED
EB_THRU,1763,0,4737,PROTECTED
1614,1,1,2,
EB_LEFT,4527,0,1764,PROTECTED
EB_THRU,4527,0,1765,PROTECTED
1614,1,2,5,
EB_LEFT,4527,0,1764,PERMITTED
EB_THRU,4527,0,1765,PROTECTED
NB_RIGHT,4525,0,1765,STOP_PERMIT
WB_THRU,1765,1,4527,PROTECTED
WB_RIGHT,1765,1,1764,PROTECTED
1614,1,3,4,
NB_LEFT,4525,0,4527,PROTECTED
NB_THRU,4525,0,1764,PROTECTED
NB_RIGHT,4525,0,1765,PROTECTED
WB_RIGHT,1765,1,1764,STOP_PERMIT
1621,1,1,2,
NB_LEFT,5665,1,4203,PROTECTED
SB_LEFT,1768,0,4235,PROTECTED
1621,1,2,8,
NB_LEFT,5665,1,4203,PERMITTED
NB_THRU,5665,1,1768,PROTECTED
NB_RIGHT,5665,1,4235,PROTECTED
WB_RIGHT,4235,1,1768,STOP_PERMIT
EB_RIGHT,4203,0,5665,STOP_PERMIT
SB_LEFT,1768,0,4235,PERMITTED
SB_THRU,1768,0,5665,PROTECTED
SB_RIGHT,1768,0,4203,PROTECTED
1621,1,4,8,
NB_RIGHT,5665,1,4235,STOP_PERMIT
WB_LEFT,4235,1,5665,PERMITTED
WB_THRU,4235,1,4203,PROTECTED
WB_RIGHT,4235,1,1768,PROTECTED
EB_LEFT,4203,0,1768,PERMITTED
EB_THRU,4203,0,4235,PROTECTED
EB_RIGHT,4203,0,5665,PROTECTED
SB_RIGHT,1768,0,4203,STOP_PERMIT
1621,1,3,2,
WB_LEFT,4235,1,5665,PROTECTED
EB_LEFT,4203,0,1768,PROTECTED
1622,1,1,3,
WB_LEFT,5693,0,5692,PROTECTED
WB_RIGHT,5693,0,1769,PROTECTED
NB_RIGHT,5692,1,5693,STOP_PERMIT
1622,1,3,5,
WB_RIGHT,5693,0,1769,STOP_PERMIT
NB_THRU,5692,1,1769,PROTECTED
NB_RIGHT,5692,1,5693,PROTECTED
EB_LEFT,1769,0,5693,PERMITTED
EB_THRU,1769,0,5692,PROTECTED
1622,1,2,2,
EB_LEFT,1769,0,5693,PROTECTED
EB_THRU,1769,0,5692,PROTECTED
1623,1,1,1,
WB_LEFT,6196,0,1770,PROTECTED
1623,1,2,2,
WB_LEFT,4593,0,6196,PROTECTED
WB_THRU,4593,0,1770,PROTECTED
1625,1,2,5,
SB_THRU,7654,0,1771,PROTECTED
SB_RIGHT,7654,0,4594,PROTECTED
EB_RIGHT,4594,0,1771,STOP_PERMIT
NB_LEFT,1771,1,4594,PERMITTED
NB_THRU,1771,1,7654,PROTECTED
1625,1,3,3,
SB_RIGHT,7654,0,4594,STOP_PERMIT
EB_LEFT,4594,0,7654,PROTECTED
EB_RIGHT,4594,0,1771,PROTECTED
1625,1,1,2,
NB_LEFT,1771,1,4594,PROTECTED
NB_THRU,1771,1,7654,PROTECTED
1626,1,1,3,
EB_LEFT,4235,0,1771,PROTECTED
EB_RIGHT,4235,0,4208,PROTECTED
SB_RIGHT,1771,0,4235,STOP_PERMIT
1626,1,3,5,
EB_RIGHT,4235,0,4208,STOP_PERMIT
NB_LEFT,4208,1,4235,PERMITTED
NB_THRU,4208,1,1771,PROTECTED
SB_THRU,1771,0,4208,PROTECTED
SB_RIGHT,1771,0,4235,PROTECTED
1626,1,2,2,
NB_LEFT,4208,1,4235,PROTECTED
NB_THRU,4208,1,1771,PROTECTED
1627,1,1,2,
SB_LEFT,7644,0,4601,PROTECTED
SB_THRU,7644,0,1772,PROTECTED
1627,1,2,5,
SB_LEFT,7644,0,4601,PERMITTED
SB_THRU,7644,0,1772,PROTECTED
WB_RIGHT,4601,1,7644,STOP_PERMIT
NB_THRU,1772,1,7644,PROTECTED
NB_RIGHT,1772,1,4601,PROTECTED
1627,1,3,3,
WB_LEFT,4601,1,1772,PROTECTED
WB_RIGHT,4601,1,7644,PROTECTED
NB_RIGHT,1772,1,4601,STOP_PERMIT
1631,1,1,2,
EB_LEFT,7627,0,4666,PROTECTED
WB_LEFT,4555,1,1775,PROTECTED
1631,1,2,8,
EB_LEFT,7627,0,4666,PERMITTED
EB_THRU,7627,0,4555,PROTECTED
EB_RIGHT,7627,0,1775,PROTECTED
EB_RIGHT,4666,0,7627,STOP_PERMIT
WB_LEFT,4555,1,1775,PERMITTED
WB_THRU,4555,1,7627,PROTECTED
WB_RIGHT,4555,1,4666,PROTECTED
NB_RIGHT,1775,1,4555,STOP_PERMIT
1631,1,4,8,
EB_RIGHT,7627,0,1775,STOP_PERMIT
EB_LEFT,4666,0,4555,PERMITTED
EB_THRU,4666,0,1775,PROTECTED
EB_RIGHT,4666,0,7627,PROTECTED
WB_RIGHT,4555,1,4666,STOP_PERMIT
NB_LEFT,1775,1,7627,PERMITTED
NB_THRU,1775,1,4666,PROTECTED
NB_RIGHT,1775,1,4555,PROTECTED
1631,1,3,2,
EB_LEFT,4666,0,4555,PROTECTED
NB_LEFT,1775,1,7627,PROTECTED
1633,1,2,5,
SB_THRU,7617,0,4739,PROTECTED
SB_RIGHT,7617,0,1776,PROTECTED
NB_LEFT,4739,1,1776,PERMITTED
NB_THRU,4739,1,7617,PROTECTED
WB_RIGHT,4738,0,7617,STOP_PERMIT
1633,1,3,4,
SB_RIGHT,7617,0,1776,STOP_PERMIT
WB_LEFT,4738,0,4739,PROTECTED
WB_THRU,4738,0,1776,PROTECTED
WB_RIGHT,4738,0,7617,PROTECTED
1633,1,1,2,
NB_LEFT,4739,1,1776,PROTECTED
NB_THRU,4739,1,7617,PROTECTED
1634,1,1,1,
NB_LEFT,5901,0,4344,PROTECTED
1634,1,2,2,
WB_LEFT,1776,0,5901,PROTECTED
WB_THRU,1776,0,4344,PROTECTED
1636,1,1,2,
WB_LEFT,4527,1,4526,PROTECTED
WB_THRU,4527,1,4521,PROTECTED
1636,1,2,5,
WB_LEFT,4527,1,4526,PERMITTED
WB_THRU,4527,1,4521,PROTECTED
EB_THRU,4521,0,4527,PROTECTED
EB_RIGHT,4521,0,4526,PROTECTED
SB_RIGHT,1777,0,4521,STOP_PERMIT
1636,1,3,4,
EB_RIGHT,4521,0,4526,STOP_PERMIT
SB_LEFT,1777,0,4527,PROTECTED
SB_THRU,1777,0,4526,PROTECTED
SB_RIGHT,1777,0,4521,PROTECTED
1641,1,1,3,
EB_LEFT,54712,0,4878,PROTECTED
EB_RIGHT,54712,0,1780,PROTECTED
WB_RIGHT,4878,0,54712,STOP_PERMIT
1641,1,3,5,
EB_RIGHT,54712,0,1780,STOP_PERMIT
WB_THRU,4878,0,1780,PROTECTED
WB_RIGHT,4878,0,54712,PROTECTED
NB_LEFT,1780,1,54712,PERMITTED
NB_THRU,1780,1,4878,PROTECTED
1641,1,2,2,
NB_LEFT,1780,1,54712,PROTECTED
NB_THRU,1780,1,4878,PROTECTED
1642,1,1,2,
SB_LEFT,3763,0,3758,PROTECTED
SB_THRU,3763,0,1781,PROTECTED
1642,1,2,5,
SB_LEFT,3763,0,3758,PERMITTED
SB_THRU,3763,0,1781,PROTECTED
EB_RIGHT,3760,0,1781,STOP_PERMIT
NB_THRU,1781,1,3763,PROTECTED
NB_RIGHT,1781,1,3758,PROTECTED
1642,1,3,4,
EB_LEFT,3760,0,3763,PROTECTED
EB_THRU,3760,0,3758,PROTECTED
EB_RIGHT,3760,0,1781,PROTECTED
NB_RIGHT,1781,1,3758,STOP_PERMIT
1644,1,1,3,
EB_LEFT,3701,0,3699,PROTECTED
EB_RIGHT,3701,0,1782,PROTECTED
SB_RIGHT,3699,0,3701,STOP_PERMIT
1644,1,3,5,
EB_RIGHT,3701,0,1782,STOP_PERMIT
SB_THRU,3699,0,1782,PROTECTED
SB_RIGHT,3699,0,3701,PROTECTED
NB_LEFT,1782,1,3701,PERMITTED
NB_THRU,1782,1,3699,PROTECTED
1644,1,2,2,
NB_LEFT,1782,1,3701,PROTECTED
NB_THRU,1782,1,3699,PROTECTED
1645,1,1,2,
NB_LEFT,2594,1,2590,PROTECTED
NB_THRU,2594,1,1782,PROTECTED
1645,1,2,4,
NB_LEFT,2594,1,2590,PERMITTED
NB_THRU,2594,1,1782,PROTECTED
SB_THRU,1782,0,2594,PROTECTED
SB_RIGHT,1782,0,2590,PROTECTED
1648,1,1,2,
WB_LEFT,3701,1,1784,PROTECTED
EB_LEFT,3696,1,3700,PROTECTED
1648,1,2,8,
WB_LEFT,3701,1,1784,PERMITTED
WB_THRU,3701,1,3696,PROTECTED
WB_RIGHT,3701,1,3700,PROTECTED
SB_RIGHT,3700,0,3696,STOP_PERMIT
EB_LEFT,3696,1,3700,PERMITTED
EB_THRU,3696,1,3701,PROTECTED
EB_RIGHT,3696,1,1784,PROTECTED
NB_RIGHT,1784,1,3701,STOP_PERMIT
1648,1,4,8,
WB_RIGHT,3701,1,3700,STOP_PERMIT
SB_LEFT,3700,0,3701,PERMITTED
SB_THRU,3700,0,1784,PROTECTED
SB_RIGHT,3700,0,3696,PROTECTED
EB_RIGHT,3696,1,1784,STOP_PERMIT
NB_LEFT,1784,1,3696,PERMITTED
NB_THRU,1784,1,3700,PROTECTED
NB_RIGHT,1784,1,3701,PROTECTED
1648,1,3,2,
SB_LEFT,3700,0,3701,PROTECTED
NB_LEFT,1784,1,3696,PROTECTED
1652,1,1,2,
NB_LEFT,6341,1,4331,PROTECTED
NB_THRU,6341,1,5152,PROTECTED
1652,1,2,5,
NB_LEFT,6341,1,4331,PERMITTED
NB_THRU,6341,1,5152,PROTECTED
SB_THRU,5152,1,6341,PROTECTED
SB_RIGHT,5152,1,4331,PROTECTED
WB_RIGHT,4309,0,5152,STOP_PERMIT
1652,1,3,4,
SB_RIGHT,5152,1,4331,STOP_PERMIT
WB_LEFT,4309,0,6341,PROTECTED
WB_THRU,4309,0,4331,PROTECTED
WB_RIGHT,4309,0,5152,PROTECTED
1654,1,1,2,
SB_LEFT,5181,0,5176,PROTECTED
SB_THRU,5181,0,5179,PROTECTED
1654,1,2,6,
SB_LEFT,5181,0,5176,PERMITTED
SB_THRU,5181,0,5179,PROTECTED
NB_THRU,5179,1,5181,PROTECTED
NB_RIGHT,5179,1,5176,PROTECTED
WB_RIGHT,5176,1,5181,STOP_PERMIT
EB_RIGHT,5175,0,5179,STOP_PERMIT
1654,1,4,6,
NB_RIGHT,5179,1,5176,STOP_PERMIT
WB_LEFT,5176,1,5179,PERMITTED
WB_RIGHT,5176,1,5181,PROTECTED
EB_LEFT,5175,0,5181,PERMITTED
EB_THRU,5175,0,5176,PROTECTED
EB_RIGHT,5175,0,5179,PROTECTED
1654,1,3,2,
