LINK,DIR,TYPE,LANES,LENGTH,OFFSET
824,0,LEFT_MERGE,1,150.0,0.0
825,0,LEFT_TURN,1,300.0,0.0
828,0,LEFT_TURN,1,100.0,0.0
828,1,LEFT_TURN,1,100.0,0.0
830,0,LEFT_TURN,1,100.0,0.0
830,0,RIGHT_TURN,1,100.0,0.0
834,0,LEFT_TURN,1,59.2,0.0
834,0,RIGHT_TURN,1,59.2,0.0
835,0,LEFT_TURN,1,100.0,0.0
839,0,LEFT_TURN,1,100.0,0.0
849,0,RIGHT_TURN,1,150.0,0.0
853,0,LEFT_TURN,1,100.0,0.0
854,0,LEFT_TURN,2,110.0,0.0
854,0,LEFT_TURN,1,110.0,0.0
869,1,LEFT_TURN,1,100.0,0.0
870,1,LEFT_TURN,1,100.0,0.0
871,0,LEFT_TURN,1,100.0,0.0
873,1,LEFT_TURN,1,100.0,0.0
888,0,LEFT_TURN,1,100.0,0.0
894,0,LEFT_TURN,2,100.0,0.0
894,0,LEFT_TURN,1,100.0,0.0
901,0,LEFT_TURN,1,13.5,0.0
902,0,LEFT_TURN,1,100.0,0.0
913,0,LEFT_TURN,1,100.0,0.0
931,0,RIGHT_MERGE,1,255.0,0.0
950,1,LEFT_TURN,1,99.0,0.0
950,1,RIGHT_TURN,1,144.0,0.0
951,1,LEFT_TURN,1,100.0,0.0
953,0,LEFT_TURN,1,18.9,0.0
956,1,LEFT_TURN,1,16.0,0.0
956,1,RIGHT_TURN,1,16.0,0.0
958,0,LEFT_TURN,1,100.0,0.0
960,0,LEFT_TURN,1,100.0,0.0
963,1,LEFT_TURN,1,100.0,0.0
964,1,LEFT_TURN,1,100.0,0.0
966,0,LEFT_TURN,1,80.0,0.0
970,0,LEFT_TURN,1,180.0,0.0
970,0,RIGHT_TURN,1,100.0,0.0
977,0,LEFT_TURN,1,100.0,0.0
977,1,LEFT_TURN,1,150.0,0.0
983,1,LEFT_TURN,1,100.0,0.0
995,0,RIGHT_MERGE,1,237.5,0.0
997,0,LEFT_TURN,1,155.0,0.0
1004,0,LEFT_TURN,1,48.5,0.0
1004,1,LEFT_TURN,1,48.5,0.0
1005,1,LEFT_TURN,1,100.0,0.0
1009,1,LEFT_TURN,2,110.0,0.0
1009,1,LEFT_TURN,1,110.0,0.0
1019,0,RIGHT_TURN,1,100.0,0.0
1033,0,RIGHT_TURN,1,100.0,0.0
1040,0,LEFT_TURN,1,140.0,0.0
1040,0,LEFT_TURN,2,125.0,0.0
1040,0,RIGHT_TURN,1,125.0,0.0
1051,0,RIGHT_MERGE,1,100.0,0.0
1054,0,LEFT_TURN,1,141.0,0.0
1054,0,LEFT_TURN,2,117.0,0.0
1054,0,RIGHT_TURN,1,122.0,0.0
1059,0,LEFT_TURN,1,100.0,0.0
1060,0,LEFT_TURN,1,100.0,0.0
1076,0,LEFT_TURN,1,145.0,0.0
1076,0,LEFT_TURN,2,127.0,0.0
1078,0,RIGHT_MERGE,1,240.0,0.0
1080,0,LEFT_TURN,1,217.0,0.0
1080,0,LEFT_TURN,2,202.0,0.0
1080,0,LEFT_TURN,3,115.0,0.0
1080,0,RIGHT_TURN,1,106.0,0.0
1082,1,LEFT_TURN,1,100.0,0.0
1084,1,LEFT_TURN,1,100.0,0.0
1086,0,LEFT_TURN,1,100.0,0.0
1086,1,LEFT_TURN,1,100.0,0.0
1087,0,LEFT_TURN,1,100.0,0.0
1089,0,LEFT_TURN,1,100.0,0.0
1089,1,LEFT_TURN,1,100.0,0.0
1090,0,LEFT_TURN,1,100.0,0.0
1090,1,LEFT_TURN,1,100.0,0.0
1092,1,LEFT_TURN,1,100.0,0.0
1093,0,LEFT_TURN,1,100.0,0.0
1094,0,LEFT_TURN,1,100.0,0.0
1098,0,LEFT_TURN,1,100.0,0.0
1104,0,LEFT_TURN,1,100.0,0.0
1105,0,LEFT_TURN,1,100.0,0.0
1115,0,LEFT_TURN,1,100.0,0.0
1118,1,LEFT_TURN,1,100.0,0.0
1121,0,LEFT_TURN,1,100.0,0.0
1144,0,LEFT_TURN,1,100.0,0.0
1154,0,LEFT_TURN,1,100.0,0.0
1160,0,LEFT_TURN,1,100.0,0.0
1180,0,LEFT_TURN,1,100.0,0.0
1194,0,LEFT_TURN,1,100.0,0.0
1195,0,LEFT_TURN,1,100.0,0.0
1210,0,LEFT_TURN,1,52.6,0.0
1218,0,LEFT_MERGE,1,165.0,0.0
1219,0,LEFT_TURN,1,100.0,0.0
1230,0,LEFT_TURN,1,100.0,0.0
1232,0,LEFT_TURN,1,100.0,0.0
1233,0,LEFT_TURN,1,100.0,0.0
